scraped_at,date,asin,product_name,current_price,mrp,displayed_discount_pct,computed_discount_pct,fake_discount,analysis_note,in_stock,url
2026-04-26 18:57:59,2026-04-26,B0D8TPR7DL,"ZEBRONICS Type C to Type C Strong Braided Cable, 60W PD Fast Charging, for iPhone 16 Series, 15 Seri",169.0,999.0,83.0,83.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0D8TPR7DL
2026-04-26 18:58:07,2026-04-26,B0FC5TDB9P,"iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Proc",14999.0,26999.0,,44.45,False,no_displayed_discount,True,https://www.amazon.in/dp/B0FC5TDB9P
2026-04-26 18:58:18,2026-04-26,B0DLW44CGS,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Came",11999.0,99900.0,,87.99,False,no_displayed_discount,True,https://www.amazon.in/dp/B0DLW44CGS
2026-04-26 18:58:25,2026-04-26,B0821PN8L4,Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | For ,365.0,458.0,20.0,20.31,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0821PN8L4
2026-04-26 18:58:34,2026-04-26,B0FQ5JVLL8,"Fresh Assorted Roses (Button Roses), 100g",,1249.0,,,False,missing_price_data,True,https://www.amazon.in/dp/B0FQ5JVLL8
2026-04-26 18:58:42,2026-04-26,B083C6XMKQ,"ATOM ALISTON K1 Series Digital Kitchen Weighing Scale 10 kg, Electronic Weight Machine with LCD Disp",230.0,599.0,62.0,61.6,False,discount_looks_genuine,True,https://www.amazon.in/dp/B083C6XMKQ
2026-04-26 18:58:53,2026-04-26,B09J2T124D,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warra",1599.0,5000.0,68.0,68.02,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09J2T124D
2026-04-26 18:59:03,2026-04-26,B06VX8YR6Q,Ezee Live Life Ezee Way Black Garbage Bags for Dustbin|90 Pcs|Medium 19 X 21 Inches|30 Pcs X Pack of,169.0,1999.0,5.0,91.55,True,gap_of_86.5_pct_points,True,https://www.amazon.in/dp/B06VX8YR6Q
2026-04-26 18:59:12,2026-04-26,B0CSFS1DPP,Orient Electric Durachill 40 L Portable Air Cooler For Home | Densenest Honeycomb Pads |More Air Del,5899.0,10990.0,46.0,46.32,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CSFS1DPP
2026-04-26 18:59:23,2026-04-26,B07FPKJ7MP,Godrej aer Matic Kit (Machine + 1 Refill) - Automatic Room Fresheners with Flexi Control Spray | Lav,454.0,549.0,17.0,17.3,False,discount_looks_genuine,True,https://www.amazon.in/dp/B07FPKJ7MP
2026-04-26 18:59:34,2026-04-26,B0DX77JM71,"Robustt Heavy Duty AC stand | Rust Proof Iron Air Conditioner Outdoor Unit Mounting Bracket, Support",439.0,999.0,56.0,56.06,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DX77JM71
2026-04-26 18:59:42,2026-04-26,B01A57IV58,Trance 100% Waterproof Premium Mattress Protector for Double Bed King Size 78x72 Inches | Cotton Fee,625.0,1217.0,49.0,48.64,False,discount_looks_genuine,True,https://www.amazon.in/dp/B01A57IV58
2026-04-26 18:59:54,2026-04-26,B0821PYKVK,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dr,369.0,480.0,23.0,23.12,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0821PYKVK
2026-04-27 23:13:10,2026-04-27,B0GN8616PH,"Silicone Face Bowl for Ice with Built-In Icetray, Collapsible Face Tub for Ice Bath, Facial Ice Plun",149.0,499.0,70.0,70.14,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0GN8616PH
2026-04-27 23:13:22,2026-04-27,B09KH81K1W,"Techista 2-in-1 Rechargeable and Waterproof LED Cycle Front Lights (3 Modes) with Horn (140 dB), Cyc",229.0,999.0,77.0,77.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09KH81K1W
2026-04-27 23:13:33,2026-04-27,B0D4DZ7WL2,Kidsmate Cruiser Kick Scooter for Kids with Broad Wheels | 3-Wheel Skate Scooter for Boys & Girls of,899.0,4999.0,82.0,82.02,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0D4DZ7WL2
2026-04-27 23:13:41,2026-04-27,B09VSZVQ1P,"Kottakkal ayurveda Nalpamaradi Tailam - Oil, 200 Ml, For Hair & Skin (Pack Of 1)",180.0,145000.0,,99.88,False,no_displayed_discount,True,https://www.amazon.in/dp/B09VSZVQ1P
2026-04-27 23:13:48,2026-04-27,B08H8KD72Q,Boldfit Heavy Resistance Band for Workout Set Exercise & Stretching Pull Up Bands for Home Exercise ,179.0,699.0,74.0,74.39,False,discount_looks_genuine,True,https://www.amazon.in/dp/B08H8KD72Q
2026-04-27 23:13:55,2026-04-27,B0BJ32VKB2,Bare Anatomy Anti-Hair Fall Shampoo | Provides 5x Hair Fall Control | pH 4.6 | Adenosine & Peptides ,469.0,484.0,3.0,3.1,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0BJ32VKB2
2026-04-27 23:14:03,2026-04-27,B0C6M3KHXV,"The Derma Co 1% Hyaluronic Sunscreen Aqua Gel SPF 50 PA++++ | Hydrating, Lightweight & Non-Greasy | ",269.0,299.0,10.0,10.03,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0C6M3KHXV
2026-04-27 23:14:10,2026-04-27,B0978NCZNC,"Boldfit Resistance Band Set with Handles, Portable Toning Tubes with Door Anchor & Foam Handles. Res",1169.0,2990.0,61.0,60.9,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0978NCZNC
2026-04-27 23:14:20,2026-04-27,B0DVSNG7NC,"Be Bodywise 6% AHA BHA Underarm Roll-on Deodorant for Even Tone Skin,Reduces Body Odor & Pigmentatio",399.0,997.5,5.0,60.0,True,gap_of_55.0_pct_points,True,https://www.amazon.in/dp/B0DVSNG7NC
2026-04-27 23:14:29,2026-04-27,B09DYH5D4P,"Wiselife Professional Latex Resistance Thera Band 100% Natural Latex Resistance Band | for Warm Up,S",279.0,498.0,44.0,43.98,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09DYH5D4P
2026-04-27 23:14:38,2026-04-27,B08QSWPZS5,"Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Con",130.0,199.0,35.0,34.67,False,discount_looks_genuine,True,https://www.amazon.in/dp/B08QSWPZS5
2026-04-27 23:14:48,2026-04-27,B0DKJZX382,PulGos 15-in-1 Pushup Board for Men & Women | Foldable Gym Equipment for Home Workout | 𝐌𝐮𝐥𝐭𝐢- 𝐅𝐮𝐧𝐜𝐭,299.0,499.0,40.0,40.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DKJZX382
2026-04-27 23:14:59,2026-04-27,B0GL7TYJZZ,Naam Jap Counter | Mini Digital Tally Counter Finger Ring | Electronic Chanting Count Machine for Ma,99.0,699.0,86.0,85.84,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0GL7TYJZZ
2026-04-27 23:15:08,2026-04-27,B0CTRXF4DS,"Konex Badminton Shuttlecock (10 Pcs) | Durable Plastic Build with Lightweight Design | Fast, Stable ",219.0,230.0,5.0,4.78,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CTRXF4DS
2026-04-27 23:15:20,2026-04-27,B0B6XQGXJW,"L'Oreal Paris L Oral Moisture Filling Shampoo, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds",366.0,519.0,29.0,29.48,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0B6XQGXJW
2026-04-27 23:15:27,2026-04-27,B0DZBYLWXW,"Digital Magnetic Multi-Function Timer Clock with Large LCD Display, Loud Alarm, Retractable Stand, S",199.0,499.0,60.0,60.12,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DZBYLWXW
2026-04-27 23:15:36,2026-04-27,B0B5LNT9VK,Boldfit Gym Ball for Exercise with Foot Pump for Workout Yoga for Women and Men Swiss for Balance St,489.0,999.0,51.0,51.05,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0B5LNT9VK
2026-04-27 23:15:44,2026-04-27,B0B77X44MX,"Boldfit Hand Gripper for Men & Women Hand Grip Strengthener for Forearm, Wrist & Finger Workout Fitn",179.0,499.0,64.0,64.13,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0B77X44MX
2026-04-27 23:15:52,2026-04-27,B000FI8ER8,Yonex Mavis 350 Green Cap Nylon Shuttlecock (Yellow),1115.0,1265.0,12.0,11.86,False,discount_looks_genuine,True,https://www.amazon.in/dp/B000FI8ER8
2026-04-27 23:16:00,2026-04-27,B0957VWFBG,"The Derma Co 10% Niacinamide Serum with 2% Zinc, Powered by Deep Penetration Formula™ | Fades Acne M",199.0,249.0,20.0,20.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0957VWFBG
2026-04-27 23:16:11,2026-04-27,B09TR82NXB,Boldfit Resistance Bands Mini Loop Set (Pack of 3) Hip/Toning Exercise for Gym Booty Belt/Latex/Ther,349.0,1299.0,73.0,73.13,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09TR82NXB
2026-04-27 23:16:19,2026-04-27,B0CR3M2865,"Boldfit Swimming Cap for Men Silicone Swimming Caps for Women Unisex Swim Cap for Boys, Girls and Ki",199.0,999.0,80.0,80.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CR3M2865
2026-04-27 23:16:27,2026-04-27,B09TZTHHBC,"Muuchstac Ocean Face Wash for Men | Fight Acne & Pimples, Brighten Skin, Clears Dirt, Oil Control, R",290.0,897.0,68.0,67.67,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09TZTHHBC
2026-04-27 23:16:35,2026-04-27,B0CKYY1M62,"Boldfit Foam Roller for Back Pain, Deep Tissue Massage and Body Pain High Density Foam Roller for Ex",589.0,1299.0,55.0,54.66,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CKYY1M62
2026-04-27 23:16:43,2026-04-27,B0CR3ZDMH4,"Boldfit Swimming Goggles for Men & Women with Adjustable Strap, Air Tight, for Adults - Black, Silic",239.0,1699.0,86.0,85.93,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CR3ZDMH4
2026-04-27 23:16:51,2026-04-27,B083VZT9PZ,"SPARNOD FITNESS SMB-100 Mini Cycle Pedal Exerciser with Fixing Strap, Adjustable Resistance and Digi",1599.0,2999.0,47.0,46.68,False,discount_looks_genuine,True,https://www.amazon.in/dp/B083VZT9PZ
2026-04-27 23:16:57,2026-04-27,B0D9VVQD2S,Lifelong Dual Color TPE Material Yoga Mat for Women & Men|6mm Anti-Slip Yoga Mat for Gym Workout Exe,599.0,3499.0,83.0,82.88,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0D9VVQD2S
2026-04-27 23:17:05,2026-04-27,B0DRVY4YBN,Lifelong Polypropylene Exercise Fitness Stepper for Exercise Aerobics Stepper | Max Weight 200kg,899.0,5999.0,85.0,85.01,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DRVY4YBN
2026-04-27 23:17:14,2026-04-27,B0B45RB1RV,Deconstruct Gel Sunscreen for Oily skin SPF 50 PA++++ |100% Photostable Sunscreen |4 New Gen UV Filt,331.0,349.0,5.0,5.16,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0B45RB1RV
2026-04-27 23:17:22,2026-04-27,B098JV1SNN,FitBox Sports 4kg Exlusive Octa PVC Fixed Dumbbells (2kg x 2) Black,229.0,249.0,8.0,8.03,False,discount_looks_genuine,True,https://www.amazon.in/dp/B098JV1SNN
2026-04-29 23:07:28,2026-04-29,B0F2HDFMFC,"iQOO Z10 5G (Glacier Silver, 8GB RAM, 256GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapd",26999.0,27999.0,4.0,3.57,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0F2HDFMFC
2026-04-29 23:07:36,2026-04-29,B0983PRR2Z,"Raxon Innovation (39 Inches, Pack of 5) PVC Door Guard Gap Filler for Door Bottom Seal Strip - Sound",188.0,699.0,73.0,73.1,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0983PRR2Z
2026-04-29 23:07:43,2026-04-29,B0D8G9J1P5,SEZNIK Vacuum Cleaner for Home Use Wet and Dry | Floor Mopping & Wet Spills + Dry Vacuuming | Turbo ,4499.0,8999.0,50.0,50.01,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0D8G9J1P5
2026-04-29 23:07:54,2026-04-29,B0D2R2MXXJ,"Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPh",799.0,1699.0,53.0,52.97,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0D2R2MXXJ
2026-04-29 23:08:05,2026-04-29,B0FMDL81GS,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Tr",1999.0,4999.0,,60.01,False,no_displayed_discount,True,https://www.amazon.in/dp/B0FMDL81GS
2026-04-29 23:08:15,2026-04-29,B08JQ6CVJ3,Tygot Lightweight & Portable Portable 7 Feet (84 Inch) Long Tripod Stand with Adjustable Mobile Clip,329.0,1999.0,84.0,83.54,False,discount_looks_genuine,True,https://www.amazon.in/dp/B08JQ6CVJ3
2026-04-29 23:08:22,2026-04-29,B0CMF25TKG,"Fire‑Boltt Rise Smart Watch 1.85″ HD Display with Bluetooth Calling, AI Voice Assistant, Rotating Cr",1099.0,11999.0,91.0,90.84,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CMF25TKG
2026-04-29 23:08:33,2026-04-29,B0DFQ1R3W4,"OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds with up to 32dB Active Noise Cancellation, 10mi",2499.0,2799.0,11.0,10.72,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DFQ1R3W4
2026-04-29 23:08:40,2026-04-29,B0DDHM6D3L,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm D",322.54,799.0,60.0,59.63,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DDHM6D3L
2026-04-29 23:08:49,2026-04-29,B0F43W6V6J,"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,256GB Storage)| Segment Slimmest | Gorilla Glass V",24999.0,36999.0,32.0,32.43,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0F43W6V6J
2026-04-29 23:09:00,2026-04-29,B0CV48C7S3,"Portronics Konnect X 60W Type C to Type C Unbreakable Nylon Braided Cable, 2M Fast Charging Cable fo",199.0,999.0,80.0,80.08,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CV48C7S3
2026-04-29 23:09:08,2026-04-29,B0GHQVNMKQ,"Panasonic 1.5 Ton 3 Star, New Star rated, Premium WiFi Inverter Smart Split AC (DustBuster Tech, Mat",35990.0,54000.0,33.0,33.35,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0GHQVNMKQ
2026-04-29 23:09:17,2026-04-29,B0BPYQPHRJ,"Fresh Chrysanthemum/Shevanti Flower White, 100 g",,54.4,,,False,missing_price_data,True,https://www.amazon.in/dp/B0BPYQPHRJ
2026-04-29 23:09:28,2026-04-29,B09794YHBS,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",1799.0,1900.0,5.0,5.32,False,discount_looks_genuine,True,https://www.amazon.in/dp/B09794YHBS
2026-04-29 23:09:40,2026-04-29,B0FN7WCV5Y,"Samsung Galaxy M17 5G Mobile (Sapphire Black, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gor",15499.0,17999.0,14.0,13.89,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0FN7WCV5Y
2026-04-29 23:09:46,2026-04-29,B0GSRW4X3W,Original Universal Ac Remote Compatible for Daikin Inverter Split AC Remote Dew Clean 1 Ton 1.5 Ton ,299.0,999.0,70.0,70.07,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0GSRW4X3W
2026-04-29 23:09:53,2026-04-29,B0CSFS1DPP,Orient Electric Durachill 40 L Portable Air Cooler For Home | Densenest Honeycomb Pads |More Air Del,5999.0,10990.0,45.0,45.41,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0CSFS1DPP
2026-04-29 23:10:02,2026-04-29,B0FPRFBXQM,CP PLUS 4MP Quad HD Smart Wi-Fi CCTV Camera for Home | 360° Pan & Tilt | CTC Cyber Secure Tech | Vie,2499.0,3500.0,29.0,28.6,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0FPRFBXQM
2026-04-29 23:10:10,2026-04-29,B075HH96CH,MICROTEK EM4160 Automatic Voltage Digital Display Wall Mounted Stabilizer (160V-285V) for AC Air Con,2268.0,3590.0,37.0,36.82,False,discount_looks_genuine,True,https://www.amazon.in/dp/B075HH96CH
2026-04-29 23:10:21,2026-04-29,B0BDRVFDKP,"SanDisk Ultra 64GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",1600.0,4999.0,,67.99,False,no_displayed_discount,True,https://www.amazon.in/dp/B0BDRVFDKP
2026-04-29 23:10:27,2026-04-29,B01A57IV58,Trance 100% Waterproof Premium Mattress Protector for Double Bed King Size 78x72 Inches | Cotton Fee,625.0,1217.0,49.0,48.64,False,discount_looks_genuine,True,https://www.amazon.in/dp/B01A57IV58
2026-04-29 23:10:35,2026-04-29,B071Z8M4KX,Boat BassHeads 100 in-Ear Headphones with Mic (Black),299.0,999.0,70.0,70.07,False,discount_looks_genuine,True,https://www.amazon.in/dp/B071Z8M4KX
2026-04-29 23:10:42,2026-04-29,B0DX6P3RX9,"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu",11499.0,13999.0,18.0,17.86,False,discount_looks_genuine,True,https://www.amazon.in/dp/B0DX6P3RX9
